                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          2.0000000000000000E+000          1.8262109900000003E+003                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230131" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             110          8.3077162721133113E+007          1.8262109899873221E+003          1.2027382017875357E+003          9.5200721169371327E+000          2.3800180292342827E+001          5.5310722630135945E+002          3.6449293482156503E+002         -9.9104921613049457E-001         -9.9537341247512512E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394973E+053         -6.9862838700236159E+026          0.0000000000000000E+000         -6.9862838700236159E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             115          8.3154513666405931E+007          1.8262109899873108E+003          1.2027382017875307E+003          9.5200721169371523E+000          2.3800180292342876E+001          5.5310722630135717E+002          3.6449293482156349E+002         -9.9125456249087673E-001         -9.9537325464059279E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394803E+053         -6.9862838700237396E+026          0.0000000000000000E+000         -6.9862838700237396E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             120          8.3188026234554932E+007          1.8262109899873049E+003          1.2027382017875282E+003          9.5200721169371594E+000          2.3800180292342901E+001          5.5310722630135604E+002          3.6449293482156264E+002         -9.9133433536928039E-001         -9.9537318625555959E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394718E+053         -6.9862838700237946E+026          0.0000000000000000E+000         -6.9862838700237946E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             125          8.3205857973608419E+007          1.8262109899873021E+003          1.2027382017875270E+003          9.5200721169371665E+000          2.3800180292342915E+001          5.5310722630135535E+002          3.6449293482156230E+002         -9.9134595810724901E-001         -9.9537314986787373E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394684E+053         -6.9862838700238248E+026          0.0000000000000000E+000         -6.9862838700238248E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             130          8.3217186643514320E+007          1.8262109899873021E+003          1.2027382017875270E+003          9.5200721169371665E+000          2.3800180292342915E+001          5.5310722630135535E+002          3.6449293482156230E+002         -9.9132669564629072E-001         -9.9537312675021661E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394684E+053         -6.9862838700238248E+026          0.0000000000000000E+000         -6.9862838700238248E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             135          8.3227356921213299E+007          1.8262109899873021E+003          1.2027382017875270E+003          9.5200721169371665E+000          2.3800180292342915E+001          5.5310722630135535E+002          3.6449293482156230E+002         -9.9128215275433518E-001         -9.9537310599627571E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394684E+053         -6.9862838700238248E+026          0.0000000000000000E+000         -6.9862838700238248E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             140          8.3240206724002004E+007          1.8262109899873021E+003          1.2027382017875270E+003          9.5200721169371665E+000          2.3800180292342915E+001          5.5310722630135535E+002          3.6449293482156230E+002         -9.9118265169439812E-001         -9.9537307977419376E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394684E+053         -6.9862838700238248E+026          0.0000000000000000E+000         -6.9862838700238248E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             145          8.3256312221739471E+007          1.8262109899873021E+003          1.2027382017875270E+003          9.5200721169371665E+000          2.3800180292342915E+001          5.5310722630135535E+002          3.6449293482156230E+002         -9.9101165078667808E-001         -9.9537304690804840E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394684E+053         -6.9862838700238248E+026          0.0000000000000000E+000         -6.9862838700238248E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             150          8.3275127683093801E+007          1.8262109899873010E+003          1.2027382017875266E+003          9.5200721169371683E+000          2.3800180292342919E+001          5.5310722630135513E+002          3.6449293482156219E+002         -9.9080962265034056E-001         -9.9537300851130639E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394667E+053         -6.9862838700238344E+026          0.0000000000000000E+000         -6.9862838700238344E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             155          8.3296630030834049E+007          1.8262109899872955E+003          1.2027382017875241E+003          9.5200721169371771E+000          2.3800180292342944E+001          5.5310722630135410E+002          3.6449293482156145E+002         -9.9062288597475412E-001         -9.9537296463084879E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394582E+053         -6.9862838700238812E+026          0.0000000000000000E+000         -6.9862838700238812E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             160          8.3320111346952796E+007          1.8262109899872894E+003          1.2027382017875213E+003          9.5200721169371878E+000          2.3800180292342972E+001          5.5310722630135297E+002          3.6449293482156060E+002         -9.9046799469908442E-001         -9.9537291671113071E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394497E+053         -6.9862838700239293E+026          0.0000000000000000E+000         -6.9862838700239293E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             165          8.3345364847120449E+007          1.8262109899872830E+003          1.2027382017875186E+003          9.5200721169371985E+000          2.3800180292343001E+001          5.5310722630135160E+002          3.6449293482155986E+002         -9.9033705542711581E-001         -9.9537286517395451E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394412E+053         -6.9862838700239760E+026          0.0000000000000000E+000         -6.9862838700239760E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             170          8.3371691774180666E+007          1.8262109899872773E+003          1.2027382017875159E+003          9.5200721169372091E+000          2.3800180292343022E+001          5.5310722630135035E+002          3.6449293482155900E+002         -9.9022503550293117E-001         -9.9537281144517686E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834394327E+053         -6.9862838700240296E+026          0.0000000000000000E+000         -6.9862838700240296E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
